planet_name,num_stars,controv_flag,orbital_period,planet_semi-major_axis,planet_radius,planet_mass,eccentricity,insolation_flux,equi_temp,spectral_type,stellar_temp,stellar_radius,stellar_mass,distance
HD 104985 b,1,0,199.68,0.715,,1766.80811,0.047,,,G9 III,4738,11.12,1.22,100.576
HD 105618 b,1,0,10.02245,0.091,,25.42627,0.455,,,,,,1.01,70.0837
HD 105618 c,1,0,77114.07158,35.731,,8419.59233,0.126,,,,,,1.01,70.0837
HD 105779 b,1,0,2412,3.38,,203.41018,0,,,G2,5792,0.94,0.89,55.2411
HD 106252 b,1,0,1531,2.611,,2199.29,0.482,,,G0,5870,,1.01,38.185
HD 106252 b,1,0,1600,2.7,,2402.7948,0.471,,,,5877.56,1.12,1.06,38.185
HD 106252 b,1,0,1535,2.655,,3178.28407,0.48,,,G0,,,1.05,38.185
HD 106252 b,1,0,1531,2.61,,2202.5619,0.48,,,,5874,1.1,1.01,38.185
HD 106252 b,1,0,1600,2.7033,,2419.538,0.471,,,,5896,1.05,1.03,38.185
HD 106270 b,1,0,1888,3.34,,3219.6179,0.185,,,,5509,2.66,1.39,93.808
HD 106270 b,1,0,1890,3.347,,3623.24384,0.213,,,G5 IV,5567,,1.48,93.808
HD 106270 b,1,0,1872,,,3108.3774,0.197,,,,,,1.33,93.808
HD 106270 b,1,0,2890,4.3,,3496,0.402,,,,5638,2.5,1.32,93.808
HD 106315 b,1,0,9.55804,0.0905,2.32,,,,1046,,6277,1.29,1.08,109.353
HD 106315 b,1,0,9.5521,0.09012,2.23,,,240,,F5 V,6290,1.18,1.07,109.353
HD 106315 b,1,0,9.554515,,2.329,,,,,,6321,1.27,1.12,109.353
HD 106315 b,1,0,9.55385,0.08887,2.4,,0.31,,1146,,6254,1.28,1.03,109.353
HD 106315 b,1,0,9.55237,0.0907,2.44,12.6,0.093,,1153,F5 V,6327,1.3,1.09,109.353
HD 106315 c,1,0,21.058,0.1503,4.4,,0.18,,874,,6254,1.28,1.03,109.353
HD 106315 c,1,0,21.05704,0.1536,4.35,15.2,0.22,,886,F5 V,6327,1.3,1.09,109.353
HD 106315 c,1,0,21.05683,,4.05,,,,,,6498,1.24,1.33,109.353
HD 106315 c,1,0,21.0576,0.1526,3.95,,,83,,F5 V,6290,1.18,1.07,109.353
HD 106315 c,1,0,21.057504,,4.294,,,,,,6321,1.27,1.12,109.353
HD 106315 c,1,0,21.05788,0.1533,4.31,,,,804,,6277,1.29,1.08,109.353
HD 106315 c,1,0,21.05603,,4.786,,,,,,6244,1.3,1.02,109.353
HD 106315 c,1,0,21.056614,,,,,,,F5 V,6290,1.18,1.07,109.353
HD 10647 b,1,0,989.2,2.015,,298.75,0.15,,,F9 V,6218,1.1,1.11,17.3357
HD 10647 b,1,0,1003,2.03,,295.57,0.16,,,,6105,,1.1,17.3357
HD 106515 A b,2,0,,,,2885.8964,,,,,5364,0.91,0.89,34.0915
HD 106515 A b,2,0,3630,4.59,,3054.22,0.572,,,G5,5362,1.62,0.97,34.0915
HD 106515 A b,2,0,3586.86089,4.491,,3025.09078,0.565,,,,,,0.93,34.0915
HD 106515 A b,2,0,3626,4.48,,6006.95689,0.571,,,G5 V,,,0.89,34.0915
HD 106906 b,1,0,,650,,3496,,,1800,F5 V,6516,,1.5,103.029
HD 106906 b,1,0,,,,4115.8985,,,1820,,6473.79,2.12,1.32,103.029
HD 10697 b,1,0,1075.5,2.143,,2151.69832,0.1035,,,G3 V,5641,,1.13,33.1205
HD 10697 b,1,0,1075.65,2.156,,2030.92352,0.0998,,,,5645.13,1.86,1.16,33.1205
HD 10697 b,1,0,1075.69,2.14,,2028.70889,0.1043,,,,5600,1.79,1.13,33.1205
HD 10697 b,1,0,1075.3799,2.051,,1825.28854,0.104,,,,,,0.99,33.1205
HD 10697 b,1,0,1076.4,2.16,,2027.7,0.1023,,,,5600,1.84,0.99,33.1205
HD 10697 b,1,0,1075.2,2.131,,1973.64,0.099,,,G5 IV,5680,,1.11,33.1205
HD 107148 b,2,0,77.181,0.3668,,64.51917,0.174,,,,5752.92,1.17,1.11,49.4156
HD 107148 b,2,0,48.056,0.269,,66.741,0.05,,,,5797,,1.12,49.4156
HD 107148 c,2,0,18.3267,0.1407,,19.89606,0.34,,,,5752.92,1.17,1.11,49.4156
HD 108147 b,1,0,10.901,0.104,,127.132,0.498,,890,,6265,,1.27,38.92
HD 108147 b,1,0,10.8985,0.102,,82.95,0.53,,,,6255.73,1.21,1.22,38.92
HD 108202 b,1,0,2990,3.7,,953.48522,0.52,,,K4/5 V,,,0.74,38.6846
HD 108236 b,1,0,3.795963,0.04527,1.615,,0.045,,,,5660,0.88,0.87,64.5978
HD 108236 b,1,0,3.79588997,,1.553,,,312.18,1072,,5723.87,0.86,,64.5978
HD 108236 b,1,0,3.79666,,,,0.2,,,G3 V,5730,0.89,0.97,64.5978
HD 108236 b,1,0,3.79523,0.0469,1.586,,0.2,,1099,G3 V,5730,0.89,0.97,64.5978
HD 108236 c,1,0,6.2037,0.0651,2.068,,0.18,,932,G3 V,5730,0.89,0.97,64.5978
HD 108236 c,1,0,6.203688,,,,0.18,,,G3 V,5730,0.89,0.97,64.5978
HD 108236 c,1,0,6.20362189,,2.057,,,162.17,910,,5723.87,0.86,,64.5978
HD 108236 c,1,0,6.203449,0.062,2.071,,0.034,,,,5660,0.88,0.87,64.5978
HD 108236 d,1,0,14.17589473,,2.623,,,53.88,691,,5723.87,0.86,,64.5978
HD 108236 d,1,0,14.175685,0.1074,2.539,,0.055,,,,5660,0.88,0.87,64.5978
HD 108236 d,1,0,14.17555,0.1131,2.72,,0.17,,708,G3 V,5730,0.89,0.97,64.5978
HD 108236 d,1,0,14.175876,,,,0.17,,,G3 V,5730,0.89,0.97,64.5978
HD 108236 e,1,0,19.590025,0.1367,3.083,,0.058,,,,5660,0.88,0.87,64.5978
HD 108236 e,1,0,19.59015781,,3.003,,,35,620,,5723.87,0.86,,64.5978
HD 108236 e,1,0,19.590186,,,,0.2,,,G3 V,5730,0.89,0.97,64.5978
HD 108236 e,1,0,19.5917,0.14,3.12,,0.2,,636,G3 V,5730,0.89,0.97,64.5978
HD 108236 f,1,0,29.54115,0.1758,2.017,,0.051,,,,5660,0.88,0.87,64.5978
HD 108341 b,2,0,1148,2.029,,715.11392,0.769,,,K2 V,5122,,0.84,48.9102
HD 108341 b,2,0,1129,2,,1112.4,0.85,,,K2 V,5122,0.79,0.84,48.9102
HD 108863 b,1,0,443.4,1.4,,826.3,0.06,,,,4956,5.6,1.85,164.742
HD 108863 b,1,0,437.7,1.32,,767.24162,0.032,,,,4878,5.74,1.59,164.742
HD 108863 b,1,0,443.39999,1.45,,902.6372,0,,,,4863,7.19,2.17,164.742
HD 108874 b,1,0,,1.051,,431.595,0.068,,,,,,0.99,59.5175
HD 108874 b,1,0,395.8,1.038,,409.98,0.082,,,G5,5551,,0.95,59.5175
HD 108874 b,1,0,394.48123,1.04,,451.3186,0.13,,,,5600,1.05,1.1,59.5175
HD 108874 b,1,0,397.5,1.06,,543.47,0.17,,,G5 V,,,1,59.5175
HD 108874 b,1,0,395.38,1.052,,419.5335,0.144,,,,5569.95,1.09,1,59.5175
HD 108874 b,1,0,395.4,1.051,,432.23,0.07,,,G5 V,,,0.99,59.5175
HD 108874 b,1,0,394.48,1.053,,426,0.128,,,,5533,1.09,0.97,59.5175
HD 108874 c,1,0,1605.8,2.68,,323.537,0.25,,,G5 V,,,0.99,59.5175
HD 108874 c,1,0,1743.2,2.83,,362.00656,0.265,,,,5569.95,1.09,1,59.5175
HD 108874 c,1,0,1680,2.77,,338.2,0.273,,,,5533,1.09,0.97,59.5175
HD 108874 c,1,0,,2.658,,320.359,0.252,,,,,,0.99,59.5175
HD 108874 c,1,0,1624,2.659,,314.64,0.239,,,G5,5551,,0.95,59.5175
HD 109246 b,1,0,68.27,0.33,,244.72,0.12,,,G0 V,5844,1.02,1.01,67.8349
HD 109246 b,1,0,68.27,0.33,,273.3338,0.12,,,,5844,1.07,1.2,67.8349
HD 109271 b,1,0,7.8543,0.079,,17.162,0.25,,,G5 V,5783,,1.05,55.8716
HD 109271 c,1,0,30.93,0.196,,24.154,0.15,,,G5 V,5783,,1.05,55.8716
HD 109286 b,1,0,520.1,1.259,,950.30694,0.338,0.71,259,G4 V,5694,1.09,0.98,55.4156
HD 109749 b,2,0,5.24,0.0635,,88.989,0.01,,,,5903,1.24,1.2,63.0821
HD 109749 b,2,0,5.24,0.06,,88.9924,0,,,,5858,1.28,1.23,63.0821
HD 109749 b,2,0,5.239891,0.0615,,85.8141,0,,,G3 V,5824,1.22,1.13,63.0821
HD 10975 b,1,0,283.8,0.95,,143.02278,0.442,,,K0 III,4840,11.16,1.41,116.506
HD 109833 b,1,0,9.188526,,2.888,,0.18,,,,5881,1,1.08,79.5561
HD 109833 b,1,0,9.1885056,,2.174,,,72.03,811,,5876,0.98,,79.5561
HD 109833 c,1,0,13.90283907,,2.614,,,77.48,757,,5876,0.98,,79.5561
HD 109833 c,1,0,13.900148,,2.59,,0.3,,,,5881,1,1.08,79.5561
HD 109988 b,1,0,17132.15854,12.518,,6935.33367,0.056,,,,,,0.88,42.5279
HD 110014 b,1,0,936.4,2.5,,4344.7361,0.06,,,,,,2.09,100.758
HD 110014 b,1,0,,2.12,,3464.2,,,,,,,2.1,100.758
HD 110014 b,1,0,835.477,2.14,,3524.59,0.462,,,K2 III,4445,20.9,2.17,100.758
HD 110067 b,3,0,9.113678,0.0793,2.2,5.69,,,800,K0.0 V,5266,0.79,0.8,32.1585
HD 110067 c,3,0,13.673694,0.1039,2.388,6.3,,,699,K0.0 V,5266,0.79,0.8,32.1585
HD 110067 d,3,0,20.519617,0.1362,2.852,8.52,,,602,K0.0 V,5266,0.79,0.8,32.1585
HD 110067 e,3,0,30.793091,0.1785,1.94,3.9,,,533,K0.0 V,5266,0.79,0.8,32.1585
HD 110067 f,3,0,41.05854,0.2163,2.601,5.04,,,489,K0.0 V,5266,0.79,0.8,32.1585
HD 110067 g,3,0,54.76992,0.2621,2.607,8.4,,,440,K0.0 V,5266,0.79,0.8,32.1585
HD 110082 b,2,0,10.18269827,,3.054,,,198.39,957,,6153,1.15,,105.096
HD 110082 b,2,0,10.18271,0.113,3.2,,0.2,,,F8 V,6200,1.19,1.21,105.096
HD 110113 b,1,0,2.54047309,,,,0.093,,,G,5732,0.97,1,106.307
HD 110113 b,1,0,2.5404679,,2.153,,,622.47,1391,,6003,0.99,,106.307
HD 110113 b,1,0,2.541,0.035,2.05,4.55,0.093,735.49,1371,G,5732,0.97,1,106.307
HD 110113 c,1,0,6.74187956,,2.114,,,193.83,952,,6003,0.99,,106.307
HD 110113 c,1,0,6.744,0.068,,10.5,0.045,199.9,990,G,5732,0.97,1,106.307
HD 110537 b,1,0,24469.67342,16.714,,8612.832,0.401,,,,,,1.02,45.0858
HD 11112 b,1,0,17244.90764,13.38,,2598.56506,0.285,,,,,,1.07,44.3804
HD 111232 b,1,0,1143,1.97,,2161.15,0.2,,,G5 V,5494,,0.78,28.9571
HD 111232 b,1,0,1169.13202,2.148,,2531.50326,0.214,,,,,,0.96,28.9571
HD 111232 b,1,0,1168.69,2.051,,2374.1782,0.2083,,,G8 V,5494,,0.83,28.9571
HD 111232 b,1,0,1118,1.9,,2129.461,0.19,,,G5 V,,,0.75,28.9571
HD 111232 b,1,0,1143,1.97,,2269.3062,0.2,,,,5512,0.9,0.84,28.9571
HD 111232 c,1,0,32100,18.8,,6579.04802,0.326,,,G8 V,5494,,0.83,28.9571
HD 111232 c,1,0,26472.44623,17.25,,5740.93452,0.558,,,,,,0.96,28.9571
HD 111591 b,1,0,1056.4,2.5,,1398.452,0.26,,,,4884,8.03,1.94,114.166
HD 111998 b,1,0,810,1.91,,1525.57635,0.13,,,F6 V,,,1.4,33.2237
HD 111998 b,1,0,825.9,1.82,,1433.4133,0.03,,,F5 V,6557,1.45,1.18,33.2237
HD 112300 b,1,0,466.63,1.33,,5031.22368,0.36,,,M1 III,3657,65.8,1.4,62.07324
HD 112570 b,1,0,2615,3.9,,1086.97315,0.2,,,K0 III,4750,9.85,1.15,101.166
HD 112640 b,1,0,613.2,1.7,,1589.15,0.24,,,K0 III,4155,39,1.8,323.335
HD 113337 b,1,0,317.58639,1.022,,1035.80278,0.28,,,,,,1.41,36.18
HD 113337 b,1,0,,,,985.273,,,,,6774,1.5,,36.18
HD 113337 b,1,0,324,0.92,,899.42,0.46,,,F6 V,6576.6,1.5,1.4,36.18
HD 113337 c,1,0,5429.93477,6.805,,6299.67686,0.164,,,,,,1.41,36.18
HD 11343 c,2,0,228.53731,0.923,,255.53404,0.169,,,,,,2.01,155.121
HD 113538 b,1,0,663.2,1.24,,114.41,0.14,,,K9 V,4462,0.53,0.58,16.2817
HD 113538 b,1,0,263.3,0.71,,85.81,0.61,,,K9 V,4685,0.65,0.7,16.2817
HD 113538 c,1,0,1657,2.43,,225.65,0.32,,,K9 V,4685,0.65,0.7,16.2817
HD 113538 c,1,0,1818,2.44,,295.57,0.2,,,K9 V,4462,0.53,0.58,16.2817
HD 113996 b,2,0,610.2,1.6,,2002.329,0.28,,,,4181,25.11,1.49,116.334
HD 114082 b,1,0,109.75,0.5109,11.209,2542.62726,0.395,,,F3 V,6651,1.49,1.47,95.3906
HD 114386 b,1,0,937.70001,1.73,,362.3262,0.23,,,,4836,0.76,0.6,27.9243
HD 114386 b,1,0,937.7,1.65,,394.09,0.23,,,,4804,,0.68,27.9243
HD 114613 b,1,0,3827,5.16,,152.55,0.25,,,G4 IV,5729,,1.36,20.2836
HD 114613 b,1,0,4000,5.34,,113.46531,0.458,,,,5641,2.14,1.27,20.2836
HD 114729 b,2,0,1121.79,2.067,,262.20975,0.079,,,,5844,1.47,0.94,37.8063
HD 114729 b,2,0,1135,2.08,,266.97,0.32,,,G0 V,,,0.93,37.8063
HD 114729 b,2,0,1132.7,2.094,,283.50294,0.098,,,,5755.82,1.65,0.96,37.8063
HD 114729 b,2,0,1114,2.1,,346.4347,0.17,,,,5835,1.55,1.24,37.8063
HD 114729 b,2,0,1114,2.11,,301.93,0.167,,,,5821,,1,37.8063
HD 114783 b,1,0,492.56,1.164,,328.31674,0.126,,,,5126.74,0.84,0.87,21.0628
HD 114783 b,1,0,501,1.2,,317.83,0.1,,,,,,0.92,21.0628
HD 114783 b,1,0,493.7,1.16,,349.6,0.144,,,K0,5135,,0.85,21.0628
HD 114783 b,1,0,496.9,1.169,,328.6,0.085,,,,5084,0.84,0.85,21.0628
HD 114783 c,1,0,4340,4.97,,209.44892,0.114,,,,5126.74,0.84,0.87,21.0628
HD 114783 c,1,0,4352,5,,603.87397,0.05,,,K1 V,,,0.9,21.0628
HD 114783 c,1,0,4319,,,194.19413,0,,,,,,0.85,21.0628
HD 11505 b,1,0,32669.22247,20.247,,2510.52659,0.144,,,,,,1.03,38.9679
HD 11506 b,1,0,1270.2,2.43,,1093.29,0.22,,,,6030,1.35,1.12,51.261
HD 11506 b,1,0,1622.1,2.9,,1535.1189,0.3743,,,G0 V,6030,1.34,1.24,51.261
HD 11506 b,1,0,1627.5,2.708,,1338.01,0.37,,,G0 V,6055,1.33,1.24,51.261
HD 11506 b,1,0,1405,2.6,,1760.7782,0.3,,,,6183,1.24,1.51,51.261
HD 11506 b,1,0,1405,2.48,,1506.45,0.3,,,G0 V,6058,1.38,1.19,51.261
HD 11506 b,1,0,1613.74017,2.8,,1551.00263,0.391,,,,,,1.12,51.261
HD 11506 c,1,0,223.6,0.721,,114.41,0.24,,,G0 V,6055,1.33,1.24,51.261
HD 11506 c,1,0,170.455,0.639,,260.61,0.42,,,,6030,1.35,1.12,51.261
HD 11506 c,1,0,223.41,0.774,,129.67464,0.193,,,G0 V,6030,1.34,1.24,51.261
HD 11506 c,1,0,223.95986,0.75,,117.27868,0.233,,,,,,1.12,51.261
HD 11506 d,1,0,14723.57452,12.235,,2346.52713,0.061,,,,,,1.12,51.261
HD 115404 A b,1,0,10.49488,0.088,,30.82936,0.232,,,,,,0.83,10.9816
HD 115404 A c,1,0,15319.22517,11.364,,3279.67133,0.211,,,,,,0.83,10.9816
HD 115954 b,1,0,3230,4.53,,2685.65004,0.457,,,G5 V,5957,,1.18,87.6437
HD 115954 b,1,0,3700,5,,2634.79749,0.487,0.06,145,G0 V,5957,1.21,1.18,87.6437
HD 116029 b,2,0,670,1.78,,667.4,0.054,,,,4951,4.6,1.58,123.245
HD 116029 b,2,0,670,1.65,,444.962,0,,,,4819,4.89,0.83,123.245
HD 116029 c,2,0,907,,,403.6441,0.038,,,,,,1.33,123.245
HD 117207 b,1,0,2621.75,3.787,,612.14058,0.157,,,,5732,1.07,1.05,32.3547
HD 117207 b,1,0,2615,3.744,,594.33912,0.142,,,,5634.75,1.13,1.02,32.3547
HD 117207 b,1,0,2597,3.79,,597,0.144,,,,5724,,1.08,32.3547
HD 117207 b,1,0,2628,,,603.877,0.15,,,,,,1.03,32.3547
HD 117207 b,1,0,2627.08,3.78,,654.7298,0.16,,,G8 IV/V,5723,,1.04,32.3547
HD 117207 b,1,0,2606,3.773,,669.34663,0.04,,,G7 IV-V,5732,,1.05,32.3547
HD 117207 b,1,0,2597,3.74,,549.8459,0.14,,,,5662,1.11,0.96,32.3547
HD 11755 b,1,0,433.7,1.08,,2065.895,0.19,,,G5,4312.5,27.3,0.9,235.045
HD 11755 b,1,0,433.70001,1.09,,1789.3829,0.19,,,,4312,20.58,0.72,235.045
HD 117618 b,1,0,25.827,0.176,,56.6,0.42,,,,5995.71,1.18,1.1,37.7781
HD 117618 b,1,0,25.8,0.17,,50.8528,0.37,,,G2 V,5855,,1.05,37.7781
HD 117618 b,1,0,25.8,0.18,,55.30242,0.15,,,,5990,,1.08,37.7781
HD 117618 b,1,0,25.827,0.17,,60.3877,0.42,,,,5977,1.2,1.17,37.7781
HD 118203 b,1,0,6.1335,0.07,,677,0.309,,,K0,5600,,1.23,92.2589
HD 118203 b,1,0,6.1335,0.07,,886.7457,0.31,,,,5864,2.06,1.84,92.2589
HD 118203 b,1,0,6.134985,0.07071,12.733,688.41633,0.314,755.3,1494,,5683,2.1,1.25,92.2589
HD 118203 b,1,0,6.1349847,0.08635,12.061,725.28442,0.316,593.4,1360,,5872,1.99,1.35,92.2589
HD 118203 b,1,0,6.1349783,,13.138,,,861.55,1509,,5828.7,2.05,,92.2589
HD 11964 b,2,0,2110,3.34,,193.9,0.06,,,,5349,,1.12,33.5369
HD 11964 b,2,0,1935,3.185,,200.54972,0.101,,,,5345.6,2.05,1.15,33.5369
HD 11964 b,2,0,1956,,,185.29489,0.073,,,,,,1.08,33.5369
HD 11964 b,2,0,1945,3.16,,198,0.041,,,,5303,2.01,0.91,33.5369
HD 11964 c,2,0,37.9196,0.2315,,24.34566,0.106,,,,5345.6,2.05,1.15,33.5369
HD 11964 c,2,0,37.91,0.229,,25,0.3,,,,5303,2.01,0.91,33.5369
HD 11977 b,1,0,,1.89,,1999.1,,,,,,,1.8,67.9331
HD 11977 b,1,0,711,1.93,,2080,0.4,,,,4970,10.09,1.91,67.9331
HD 11977 b,1,0,621.6,1.89,,2065.895,0.3,,,,,,2.31,67.9331
HD 120084 b,1,0,2142,4.21,,2034.1018,0.483,,,G7 III,4879,10.37,2.16,103.044
HD 120084 b,1,0,2082,4.3,,1430.2,0.66,,,G7 III,4892,9.12,2.39,103.044
HD 120084 b,1,0,2085.10024,4.341,,1831.32728,0.732,,,,,,2.5,103.044
HD 120084 b,1,0,2084,4.12,,2415.49589,0.7,,,G7 III,4892,,2.15,103.044
HD 121504 b,1,0,63.33,0.33,,479.9233,0.03,,,,6027,1.07,1.62,41.6592
HD 121504 b,1,0,63.33,0.33,,388,0.03,,,,6075,,1.18,41.6592
HD 12235 b,1,0,4.36305,0.054,,10.48834,0.376,,,,,,1.1,31.7627
HD 12235 c,1,0,36336.70679,22.21,,3135.69506,0.174,,,,,,1.1,31.7627
HD 122562 c,1,0,84.96276,0.406,,73.10053,0.228,,,,,,1.24,53.2528
HD 124330 b,1,0,270.66,0.86,,238.37131,0.34,,,G4 IV,5873,,1.15,60.1977
HD 12484 b,1,0,58.83,0.297,,947.1334,0.07,,,F8,5920,,1.01,48.3367
HD 125271 b,1,0,14901.99295,10.817,,3465.60095,0.165,,,,,,0.75,39.3466
HD 125390 b,1,0,1756.2,3.16,,7043.1128,0.591,,,G7 V,4850,6.47,1.36,153.647
HD 125390 b,1,0,1757.39151,3.496,,8646.20398,0.597,,,,,,1.82,153.647
HD 125390 b,1,0,1758,3.184,,10806.16584,0.598,,,G7 III,4882,,1.6,153.647
HD 125595 b,1,0,9.6737,0.0809,,13.134,0,,,K4 V,4908,,0.76,28.1989
HD 125595 b,1,0,9.6737,0.08,,6.3566,0,,,,4691,0.74,0.29,28.1989
HD 125612 b,2,0,557.69994,1.349,,945.22168,0.446,,,,,,1.05,57.6207
HD 125612 b,2,0,557.04,1.372,,985.273,0.4553,,,G3 V,5841,1.05,1.11,57.6207
HD 125612 b,2,0,559.40485,1.37,,1026.5909,0.46,,,,5931,1.07,1.19,57.6207
HD 125612 b,2,0,559.4,1.37,,968,0.46,,,,5900,,1.09,57.6207
HD 125612 b,2,0,510,1.2,,1112.405,0.38,,,G3 V,5897,1.05,1.1,57.6207
HD 125612 c,2,0,4.15514,0.0524,,17.48065,0.049,,,G3 V,5841,1.05,1.11,57.6207
HD 125612 c,2,0,4.15466,0.051,,15.57359,0.149,,,,,,1.05,57.6207
HD 125612 c,2,0,4.1547,0.05,,18,0.27,,,,5900,,1.09,57.6207
HD 125612 d,2,0,3008,4.2,,2286,0.28,,,,5900,,1.09,57.6207
HD 125612 d,2,0,2822.72698,3.982,,2281.37231,0.115,,,,,,1.05,57.6207
HD 125612 d,2,0,2835,4.06,,2313.8024,0.1172,,,G3 V,5841,1.05,1.11,57.6207
HD 12648 b,1,0,133.60001,0.54,,622.9468,0.04,,,,4835,11.02,0.67,182.192
HD 12648 b,1,0,133.6,0.54,,921.707,0.04,,,G5,4835.8,9.2,1.2,182.192
HD 126525 b,1,0,960.41,1.837,,75.32571,0.035,,,,5638,0.98,0.9,37.6506
HD 12661 b,1,0,262.709,0.831,,731,0.3768,,,,5655,1.21,1,37.8478
HD 12661 b,1,0,262.70862,0.84,,772.3269,0.38,,,,5645,1.2,1.2,37.8478
HD 12661 b,1,0,262.709,0.8079,,691.569,0.3768,,,,5748,1.11,1.02,37.8478
HD 12661 b,1,0,262.36,0.824,,725.60225,0.3597,,,,5661.18,1.2,1.08,37.8478
HD 12661 b,1,0,252.7,0.79,,886.7457,0.23,,,,5754,1.1,1.07,37.8478
HD 12661 b,1,0,262.53,0.831,,743.7,0.361,,,,5655,1.21,1,37.8478
HD 12661 c,1,0,1708,2.8145,,575.884,0.031,,,,5748,1.11,1.02,37.8478
HD 12661 c,1,0,1696.7,2.861,,589.57169,0.025,,,,5661.18,1.2,1.08,37.8478
HD 12661 c,1,0,1679,2.86,,581.6,0.017,,,,5655,1.21,1,37.8478
HD 12661 c,1,0,1708,2.9,,610,0.031,,,,5655,1.21,1,37.8478
HD 126614 b,3,0,1244,2.37,,130.3103,0.41,,,,5568,1.32,1.26,73.0961
HD 126614 b,3,0,1253.5,2.291,,113.14691,0.577,,,,5409.83,1.37,1.02,73.0961
HD 126614 b,3,0,1257.25303,2.249,,107.74383,0.548,,,,,,0.96,73.0961
HD 126614 b,3,0,1244,2.35,,120,0.41,,,,5585,1.09,1.15,73.0961
HD 127506 b,1,0,65.78395,0.287,,27.33324,0.24,,,,,,0.73,22.5279
HD 128311 b,1,0,460.1,,,581.6,0.3,,,,,,0.83,16.3292
HD 128311 b,1,0,453.28,1.088,,635.65681,0.283,,,,4931.94,0.78,0.84,16.3292
HD 128311 b,1,0,454.2,1.086,,460.83,0.345,,,K0,4965,,0.83,16.3292
HD 128311 b,1,0,458.6,1.099,,692.84,0.25,,,K0 V,,,0.84,16.3292
HD 128311 b,1,0,453.019,1.084,,562.24127,0.303,,,,,0.76,0.83,16.3292
HD 128311 b,1,0,422,1.02,,816.79,0.31,,,K0 V,,,0.8,16.3292
HD 128311 c,1,0,917.5,1.742,,1032.94232,0.196,,,,4931.94,0.78,0.84,16.3292
HD 128311 c,1,0,923.8,1.745,,1029.73,0.23,,,K0,4965,,0.83,16.3292
HD 128311 c,1,0,921.538,1.74,,1204.25787,0.159,,,,,0.76,0.83,16.3292
HD 128311 c,1,0,910.7,,,1017.01,0.12,,,,,,0.83,16.3292
HD 128311 c,1,0,928.3,1.76,,1020.19,0.17,,,K0 V,,,0.84,16.3292
HD 128356 b,1,0,298.2,0.87,,282.8687,0.57,,,K3 V,4875,0.85,0.65,26.1548
HD 129445 b,1,0,1802,2.984,,797.7493,0.572,,,G6 V,5646,,1.09,67.4386
HD 129445 b,1,0,1840,2.9,,508.507,0.7,,,G6 V,,,0.99,67.4386
HD 130322 b,1,0,10.72,0.088,,324.1866,0.044,,720,,5330,,0.79,31.8766
HD 130322 b,1,0,10.7085,0.0896,,330.53,0.011,,,K0 V,5308,,0.84,31.8766
HD 130322 b,1,0,10.70867,0.0929,,365.18484,0.015,,,,5400.49,0.87,0.93,31.8766
HD 130322 b,1,0,10.721,0.09,,346.43296,0.063,,,K0 V,,,0.85,31.8766
HD 130322 b,1,0,10.70871,0.0925,,365.49,0.029,,,,5387,0.85,0.92,31.8766
HD 131496 b,1,0,883,2.09,,699.2,0.163,,,,4927,4.3,1.61,131.849
HD 131496 b,1,0,883,2.11,,711.9392,0.16,,,,4886,5.54,1.62,131.849
HD 131496 b,1,0,896,2.01,,572.094,0.181,,,,4846,4.44,1.34,131.849
HD 13167 b,1,0,2613,4.1,,1052.0173,0.563,,,,5671,2.39,1.35,148.934
HD 13189 b,1,0,471.6,1.85,,4400,0.27,,,,4184.4,41.98,,497.823
HD 13189 b,1,0,471.60001,1.25,,3480.2385,0.27,,,,4175,38.41,2.24,497.823
HD 132406 b,1,0,974,1.98,,1782.951,0.34,,,,5759.29,1.35,1.03,70.7832
HD 132406 b,1,0,974,1.98,,1709.9254,0.34,,,,5783,1.34,1.03,70.7832
HD 132406 b,1,0,964,1.969,,1970.53612,0.303,,,G0 V,5766,,1.09,70.7832
HD 132563 b,3,0,1544,2.62,,473.547,0.22,,,,6289,1.3,1.23,105.155
HD 133131 A b,2,0,649,1.44,,451.3186,0.33,,,G2 V,5799,,0.95,51.4736
HD 133131 A c,2,0,3568,4.49,,133.4886,0.49,,,G2 V,5799,,0.95,51.4736
HD 133131 B b,2,0,5769,6.15,,794.575,0.61,,,G2 V,5805,,0.93,51.2993
HD 134060 b,1,0,3.2696,0.0444,,10.1,0.45,,,G3 IV,5966,,1.09,24.0125
HD 134060 c,1,0,1291.5646,2.3928,,29.29,0.11,,,G3 IV,5966,,1.09,24.0125
HD 134606 b,1,0,12.089,0.1046,,9.09,0.092,,,,5576,1.16,1.05,26.7909
HD 134606 c,1,0,58.883,0.3007,,11.31,0.055,,,,5576,1.16,1.05,26.7909
HD 134606 d,1,0,966.5,1.941,,44.8,0.092,,,,5576,1.16,1.05,26.7909
HD 134606 e,1,0,4.3203,0.0527,,2.34,0.2,,,,5576,1.16,1.05,26.7909
HD 134606 f,1,0,26.915,0.1784,,5.63,0.081,,,,5576,1.16,1.05,26.7909
HD 134987 b,1,0,264.6,0.82,,518.0629,0.37,,,,,,1.05,26.1804
HD 134987 b,1,0,258.19,0.81,,505,0.233,,,G5 V,5585,1.25,1.1,26.1804
HD 134987 b,1,0,258.17999,0.81,,511.7063,0.23,,,,5736,1.22,1.1,26.1804
HD 134987 b,1,0,258.251,0.818,,516.15333,0.2281,,,,5700.78,1.29,1.09,26.1804
